"ref_area","ref_area.label","source","source.label","indicator","indicator.label","time","obs_value","note_indicator","note_indicator.label","note_source","note_source.label"
"ARM","Armenia","FI:171","ADM-RWO - Records from branch republican Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",36.6,,,,
"ARM","Armenia","FI:171","ADM-RWO - Records from branch republican Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",35.8,,,,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",13.66,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",14.56,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",16.63,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",16.35,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",18.22,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",19.57,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",19.72,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUS","Australia","BA:3048","LFS - Employee Earnings, Benefits and Trade Union Membership Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",19.69,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",26.24,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",26.3,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",26.65,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",26.9,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",27.35,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",27.72,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",27.76,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",27.96,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",28.31,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"AUT","Austria","XX:8240","OS - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",28.86,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BDI","Burundi","BB:7040","HIES - Living Standards Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",5.61,,,,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",49.08,,,,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",49.96,,,,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",50.72,,,,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",51.58,,,,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",52.27,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",52.72,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",53.03,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",53.75,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",54.04,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BEL","Belgium","XX:8242","OS - Estimations based on Records from the three main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",52.7,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BFA","Burkina Faso","BA:15678","LFS - Regional Integrated Survey on Employment and the Informal Sector","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",9.81,,,,
"BFA","Burkina Faso","BA:15678","LFS - Regional Integrated Survey on Employment and the Informal Sector","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",7.8,,,,
"BGD","Bangladesh","FX:805","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",11.9,,,,
"BGD","Bangladesh","FX:805","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",10.07,,,,
"BGD","Bangladesh","FX:805","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",11.29,,,,
"BGR","Bulgaria","FX:917","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",13.7,"T31:4130","Trade union membership coverage: Refers only to the two main union confederations",,
"BGR","Bulgaria","FX:917","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",13.6,"T31:4130","Trade union membership coverage: Refers only to the two main union confederations",,
"BGR","Bulgaria","FX:917","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",13.9,"T31:4130","Trade union membership coverage: Refers only to the two main union confederations",,
"BGR","Bulgaria","FX:917","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",14,"T31:4130","Trade union membership coverage: Refers only to the two main union confederations",,
"BGR","Bulgaria","FX:917","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",11.4,"T31:4130","Trade union membership coverage: Refers only to the two main union confederations",,
"BGR","Bulgaria","FX:917","ADM - Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",13.9,"T31:4130","Trade union membership coverage: Refers only to the two main union confederations",,
"BIH","Bosnia and Herzegovina","XX:8244","OS - Estimations based on Administrative data","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",30,,,,
"BLZ","Belize","FX:3509","ADM - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",7.43,,,,
"BLZ","Belize","FX:3509","ADM - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",9.09,,,,
"BLZ","Belize","FX:3509","ADM - Trade unions records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",9.52,,,,
"BMU","Bermuda","FI:604","ADM-RWO - Records of Workers' Organizations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",21.9,,,,
"BMU","Bermuda","FI:604","ADM-RWO - Records of Workers' Organizations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",24.66,,,,
"BMU","Bermuda","FI:604","ADM-RWO - Records of Workers' Organizations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",23.55,,,,
"BMU","Bermuda","FI:604","ADM-RWO - Records of Workers' Organizations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",23.29,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",12.05,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",11.83,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",11.32,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",13.33,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",11.41,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",14.97,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",19.07,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",18.71,,,,
"BOL","Bolivia","BB:73","HIES - Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",22.42,,,,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",13.03,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",14.58,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",16.81,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",16.9,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",17.92,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",17.78,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",17.84,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",17.72,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BRA","Brazil","BX:356","HS - National Household Sample Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",18.48,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BWA","Botswana","XX:16046","OS - Estimations based on administrative data","ILR_TUMT_NOC_RT","Trade union density rate (%)","2020",29.96,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BWA","Botswana","XX:16046","OS - Estimations based on administrative data","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",29.36,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BWA","Botswana","XX:16046","OS - Estimations based on administrative data","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",29.11,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BWA","Botswana","XX:16046","OS - Estimations based on administrative data","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",28.06,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"BWA","Botswana","XX:16046","OS - Estimations based on administrative data","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",29,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2020",29.39,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",28.29,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",28.09,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",28.44,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",28.39,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",28.59,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",28.41,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",29.19,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",29.28,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",28.98,,,,
"CAN","Canada","BA:147","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",29.34,,,,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",14.43,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",14.86,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",15.25,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",15.66,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",16.08,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",16.57,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",16.53,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",17.03,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHE","Switzerland","FI:8284","ADM-RWO - Records of Affiliated and Independent Unions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",17.58,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",17.09,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",17.38,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",16.92,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",15.4,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",14.66,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",14.19,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",14.38,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",13.88,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHL","Chile","FX:137","ADM - Administrative registrations at the directorate of labour","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",14.01,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",44.25,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",44.56,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",43.86,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",43.22,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",42.56,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",41.16,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",37.8,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CHN","China","FX:8362","ADM - Statistical Yearbook","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",34.73,"T31:3503","Trade union membership coverage: According to the national definition of trade union",,
"CIV","Côte d'Ivoire","BA:7345","LFS - National Survey on the Employment Situation","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",10.62,,,,
"CIV","Côte d'Ivoire","BA:7345","LFS - National Survey on the Employment Situation","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",9.35,,,,
"CIV","Côte d'Ivoire","BA:7345","LFS - National Survey on the Employment Situation","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",7.65,,,,
"CIV","Côte d'Ivoire","BA:7345","LFS - National Survey on the Employment Situation","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",10.93,,,,
"CMR","Cameroon","FX:1008","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",5.02,,,,
"CMR","Cameroon","FX:1008","ADM - Administrative records and related sources","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",5.41,,,,
"COD","Congo, Democratic Republic of the","BA:3051","LFS - Survey on Employment and household's living conditions","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",13.56,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",4.65,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",4.7,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",4.77,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",5.25,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",5.41,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",5.74,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",6.52,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",4.27,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",3.67,,,,
"COL","Colombia","EA:13418","OE - Estimates based on various Administrative Records","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",3.56,,,,
"COM","Comoros","BA:14125","LFS - National Survey on Employment and the Informal Sector","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",13.35,,,,
"CPV","Cabo Verde","BA:7395","LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",20.9,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2019",20.54,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",19.45,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2017",19.33,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",19.34,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",18.58,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",12.37,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",13.72,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",13.14,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",13.37,,,,
"CRI","Costa Rica","BX:142","HS - National Household Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",12.83,,,,
"CUW","Curaçao","BA:12900","LFS - Labour Force Survey","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",23.49,,,,
"CYP","Cyprus","XX:8250","OS - Estimates based on Trade Union Registrar","ILR_TUMT_NOC_RT","Trade union density rate (%)","2016",43.28,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CYP","Cyprus","XX:8250","OS - Estimates based on Trade Union Registrar","ILR_TUMT_NOC_RT","Trade union density rate (%)","2015",43.58,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CYP","Cyprus","XX:8250","OS - Estimates based on Trade Union Registrar","ILR_TUMT_NOC_RT","Trade union density rate (%)","2014",45.81,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CYP","Cyprus","XX:8250","OS - Estimates based on Trade Union Registrar","ILR_TUMT_NOC_RT","Trade union density rate (%)","2013",46.62,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CYP","Cyprus","XX:8250","OS - Estimates based on Trade Union Registrar","ILR_TUMT_NOC_RT","Trade union density rate (%)","2012",45.37,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CYP","Cyprus","XX:8250","OS - Estimates based on Trade Union Registrar","ILR_TUMT_NOC_RT","Trade union density rate (%)","2011",45.6,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CYP","Cyprus","XX:8250","OS - Estimates based on Trade Union Registrar","ILR_TUMT_NOC_RT","Trade union density rate (%)","2010",48.03,"T31:4129","Trade union membership coverage: Adjusted for the right to unionize",,
"CZE","Czechia","FI:8252","ADM-RWO - Estimations based on self-reported membership of the main union confederations","ILR_TUMT_NOC_RT","Trade union density rate (%)","2018",11.38,,,,
